outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
76,62,Invasive and toxin-mediated GAS disease,Non-bacteraemic osteomyelitis and septic arthritis,not stated,Not stated,"Acute Haematogenous Osteomyelitis diagnosis based on symptom duration less than 2 weeks with a bacteremic cause. OM diagnosed by variety of clinical, radiography, surgically. No strict diagnostic tool but used  ESR, WCC, CRP means in diagnosed cases to lo",not given,rate,,62,Padraig,02-Jun-15,Pediatric acute hematogenous osteomyelitis,"Street M, Puna R, Huang M, Crawford H",2014,"Street et al., 2014",retrospective cohort,New Zealand,Auckland,hospital,1997,2008,10 years, pediatric orthopaedic department database,patients,813,clinical notes and chart review,0-15 years,,"no proven chronic osteomyelitis on initial presentation, no history of penetrating wounds, no compound fractures or previous surgical intervention , not presnting with primary septic arthritis and sufficient data availbe on patients to conduct analysis",No,Unclear,No,Unclear,No,measurement and endpoint definition vague,62,76,148,Ethnicity,EUROPEAN (NZ or other) average annual incidence AHO 0-15 years. Pop denominator 2006 NZ census data,813,-9,-9,285,"per 100,000",22.22,-9,-9,22.22,TRUE,-9,-9,,-9,rate calculated by reviewer from available ratio (1:4500),5
77,63,Invasive and toxin-mediated GAS disease,Non-bacteraemic osteomyelitis and septic arthritis,ICD-10,Not stated,"ICD-10 codes relating to osteomyelitis (codes not given). Diagnostic criteria: (1) localized tenderness, redness, swelling, or reduced mobility, (2) pus aspirated from bone or draining sinus, (3) growth of bacteria from blood or
bone specimen, or (4) radi",not given,incidence,no total incidence. 4 patients positive for GAS (4/85: 4.7%) unknonw how many samples tested though,63,Padraig,02-Jun-15,Osteomyelitis in Polynesian children,"Rossaak M, Pitto RP",2004,"Rossaak et al., 2004",retrospective cohort,New Zealand,Auckland,hospital,01/01/2000,31/12/2002,3 years,hospital admissions,hospital admissions,59453,clinical records,,,"patients correctly coded and fall within hopsital catchment area, and at least 2 of 4 diagnostic criteria",No,Unclear,No,Unclear,No,,63,77,149,Ethnicity,POLYNESIAN and NZ MAORI incidence osteomyelitis children,85,-9,-9,68,"per 100,000",42.8,-9,-9,42.8,TRUE,0,0,,0,,5
77,63,Invasive and toxin-mediated GAS disease,Non-bacteraemic osteomyelitis and septic arthritis,ICD-10,Not stated,"ICD-10 codes relating to osteomyelitis (codes not given). Diagnostic criteria: (1) localized tenderness, redness, swelling, or reduced mobility, (2) pus aspirated from bone or draining sinus, (3) growth of bacteria from blood or
bone specimen, or (4) radi",not given,incidence,no total incidence. 4 patients positive for GAS (4/85: 4.7%) unknonw how many samples tested though,63,Padraig,02-Jun-15,Osteomyelitis in Polynesian children,"Rossaak M, Pitto RP",2004,"Rossaak et al., 2004",retrospective cohort,New Zealand,Auckland,hospital,01/01/2000,31/12/2002,3 years,hospital admissions,hospital admissions,59453,clinical records,,,"patients correctly coded and fall within hopsital catchment area, and at least 2 of 4 diagnostic criteria",No,Unclear,No,Unclear,No,,63,77,150,Ethnicity,EUROPEAN or OTHERS  incidence osteomyelitis children,85,-9,-9,17,"per 100,000",11.1,-9,-9,11.1,TRUE,0,0,,0,"smaple size, total cases, popualtion demoninator confused",5
78,64,Invasive and toxin-mediated GAS disease,Meningitis,no,Not stated,clinincal presentation with either positive CSF culutre of bacteria or a positive blood culture in assoc. with abnormal CSF WBC count,na,prevalence,,64,Padraig,03-Jun-15,"Early onset neonatal meningitis in Australia and New Zealand, 1992-2002","May M, Daley AJ, Donath S, Isaacs D",2005,"May et al., 2005",prospective cohort,,ANZ national,hospital,1992,2002,approx 10 years,participating neonatologists,neonatal sepsis cases,3966,questionaire standard form,,,,,,,No,,undisclosed changes in reporting untis and compliance over study period,64,78,151,Total,population denominator is the sum of total live births for each unit per year,3966,-9,-9,308,per 1000 live births,0.11,-9,-9,0.11,TRUE,0,0,,0,,5
79,65,Invasive and toxin-mediated GAS disease,Necrotizing fasciitis,no,Not stated,Not defined,na,count,,65,Padraig,04-Jun-15,The clinical spectrum of necrotising fasciitis. A review of 15 cases,"Jarrett P, Rademaker M, Duffill M",1997,"Jarrett et al., 1997",retrospective cohort,New Zealand,Waikato,Hospital,1990,1995,6 years,hospital discharges,presentations coded as nec fac,15,clinical notes,15- 92 years,,,Unclear,Unclear,No,Unclear,No,,65,79,152,Total,count of cases found over the study period at Waikato Hospital,-9,-9,-9,8,%,53,-9,-9,53,TRUE,57,-9,tissue and skin culture,-9,"blood culture GAS positive 25% (3/12)
mortality rate 53%",5
106,81,Superficial GAS disease,Pyoderma,ICD-10,Any diagnosis,"superficial bacterial infection of a pre-existing skin condition such as eczema, scabies, chickenpox",,proportion,,81,Padraig,17-Jun-15,Serious skin infections in children: a review of admissions to Gisborne Hospital (2006-2007),"O'Sullivan C, Baker MG",2012,"O'Sullivan et al., 2012",retrospective cohort,New Zealand,Tairawhiti,hospital,1/01/2006,31/12/2007,2 years,admissions,children,161,clinical notes,0-14,,"overnight admission. Overseas visitors, transfers and readmissions within 30 days excluded",Yes,Yes,No,Unclear,Yes,,81,106,199,Total,Superficial bacterial infection of pre-existing skin condition children 0-14 years admissions to Gisborne Hospital 2006-2007,163,-9,-9,23,%,14,-9,-9,14,TRUE,0,0,,0,case count calculated by reviewer from available data. of all skin admissions swabbed (n=84) 26 grew GAS alone or in combinationwith S aureus (31.0%). No GAS % given for cellulitis alone,5
107,82,Post GAS infection reactions,APSGN,no,Not stated,"child with haematuria (>10 red blood cells/mm3 upon urine microscopy) and at least two of the following: facial oedema
(confirmed by a family member or health worker), hypertension
(diastolic blood pressure 285 mmHg), hypocomplementaemia
(C3 <0.60g/L), an",,prevalence,skin sore data also given but incomplete,82,Padraig,18-Jun-15,An epidemic of acute post-streptococcal glomerulonephritis among Aboriginal children,"Streeton CL, Hanna JN, Messer RD, Merianos A",1995,"Streeton et al., 1995",cross-sectional,Australia,Far North Queensland,communities,July 1993,October 1993,3 months,active,children,,screening,,,,No,Yes,Yes,Yes,Yes,epidemic,82,107,200,Total,Children aged 2-14 years  in the three communties screen,583,-9,-9,58,per 1000 children,100,76,128,128,TRUE,0,0,,0,,5
107,82,Post GAS infection reactions,APSGN,no,Not stated,"child with haematuria (>10 red blood cells/mm3 upon urine microscopy) and at least two of the following: facial oedema
(confirmed by a family member or health worker), hypertension
(diastolic blood pressure 285 mmHg), hypocomplementaemia
(C3 <0.60g/L), an",,prevalence,skin sore data also given but incomplete,82,Padraig,18-Jun-15,An epidemic of acute post-streptococcal glomerulonephritis among Aboriginal children,"Streeton CL, Hanna JN, Messer RD, Merianos A",1995,"Streeton et al., 1995",cross-sectional,Australia,Far North Queensland,communities,July 1993,October 1993,3 months,active,children,,screening,,,,No,Yes,Yes,Yes,Yes,epidemic,82,107,201,Age,CHILDREN 2 -4 YEARS,128,-9,-9,11,per 1000 children,86,43,154,154,TRUE,0,0,,0,,5
107,82,Post GAS infection reactions,APSGN,no,Not stated,"child with haematuria (>10 red blood cells/mm3 upon urine microscopy) and at least two of the following: facial oedema
(confirmed by a family member or health worker), hypertension
(diastolic blood pressure 285 mmHg), hypocomplementaemia
(C3 <0.60g/L), an",,prevalence,skin sore data also given but incomplete,82,Padraig,18-Jun-15,An epidemic of acute post-streptococcal glomerulonephritis among Aboriginal children,"Streeton CL, Hanna JN, Messer RD, Merianos A",1995,"Streeton et al., 1995",cross-sectional,Australia,Far North Queensland,communities,July 1993,October 1993,3 months,active,children,,screening,,,,No,Yes,Yes,Yes,Yes,epidemic,82,107,202,Age,CHILDREN 5 - 8 YEARS,181,-9,-9,26,per 1000 children,144,94,211,211,TRUE,0,0,,0,,5
107,82,Post GAS infection reactions,APSGN,no,Not stated,"child with haematuria (>10 red blood cells/mm3 upon urine microscopy) and at least two of the following: facial oedema
(confirmed by a family member or health worker), hypertension
(diastolic blood pressure 285 mmHg), hypocomplementaemia
(C3 <0.60g/L), an",,prevalence,skin sore data also given but incomplete,82,Padraig,18-Jun-15,An epidemic of acute post-streptococcal glomerulonephritis among Aboriginal children,"Streeton CL, Hanna JN, Messer RD, Merianos A",1995,"Streeton et al., 1995",cross-sectional,Australia,Far North Queensland,communities,July 1993,October 1993,3 months,active,children,,screening,,,,No,Yes,Yes,Yes,Yes,epidemic,82,107,203,Age,CHILDREN 9 - 14 YEARS,274,-9,-9,21,per 1000 children,77,47,118,118,TRUE,0,0,,0,,5
109,83,Superficial GAS disease,Pharyngitis,no,Not stated,symptomatic sore throat and culture of throat swab.Clinincal pharyngitis defined as inflamed throat and.or tonsils with/without exudate.,, proportion,,83,Padraig,22-Jun-15,Nurse-led school-based clinics fro skin infections and rheumatic fever prevention: results from a pilot study in South Auckland,"Gray S, Lennon D, Anderson P, Stewart J, Farrell E",2013,"Gray et al., 2013",prospective cohort,New Zealand,South Auckland,School,April 2011,July 2011,15 weeks,active,children,434,exam,primary school,,,Yes,Unclear,No,Unclear,No,,83,109,204,Total,GAS positive throat swab from  students presenting with symptomatic sore throat,720,-9,-9,92,%,12.8,-9,-9,12.8,TRUE,100,-9,throat culture,-9,average incidence of GAS positive swab was 7.1 per week,5
110,83,Superficial GAS disease,Impetigo,no,Not stated,impetigo diagnosed through PHN assessment,,proportion,,83,Padraig,22-Jun-15,Nurse-led school-based clinics fro skin infections and rheumatic fever prevention: results from a pilot study in South Auckland,"Gray S, Lennon D, Anderson P, Stewart J, Farrell E",2013,"Gray et al., 2013",prospective cohort,New Zealand,South Auckland,School,April 2011,July 2011,15 weeks,active,children,434,exam,primary school,,,Yes,Unclear,No,Unclear,No,,83,110,205,Total,impetigo among  studentsdiagnosed with skin infection by the  PHN during the study period,79,-9,-9,46,%,58.2,-9,-9,58.2,TRUE,-9,-9,,-9,,5
111,83,Locally invasive GAS disease,Cellulitis,no,Not stated,cellulitis diagnosed by PHN during assesment,,proportion,,83,Padraig,22-Jun-15,Nurse-led school-based clinics fro skin infections and rheumatic fever prevention: results from a pilot study in South Auckland,"Gray S, Lennon D, Anderson P, Stewart J, Farrell E",2013,"Gray et al., 2013",prospective cohort,New Zealand,South Auckland,School,April 2011,July 2011,15 weeks,active,children,434,exam,primary school,,,Yes,Unclear,No,Unclear,No,,83,111,206,Total,cellulitis among  students diagnosed with skin infection by the  PHN during the study period,79,-9,-9,3,%,3.8,-9,-9,3.8,TRUE,-9,-9,,-9,,5
112,84,Locally invasive GAS disease,Cellulitis,"ICD-10 L03.2, L03.10, L03.0, L03.10, L02.0-L02.9, L08.8",Not stated,skin infection diagnosis coded as cellulitis or skin abcess according to given ICD-10,,incidence,,84,Padraig,22-Jun-15,Skin infections o fth elimbs of Polynesian children,"Finger F, Rossaak M, Umstaetter R, Reulbach U, Pitto R",2004,"Finger et al., 2004",cross-sectional,New Zealand,Middlemore,tertiary care,1/01/2000,31/12/2000,1 year,inpatient admission,patient,91,clinincal records,1-14 years,,,No,Yes,No,Yes,Yes,,84,112,207,Ethnicity,New Zealand Maori and Polynesian children diagnosed with cellulitis and skin abscess,,-9,53000,73,"per 100,000",137.7,-9,-9,137.7,TRUE,0,0,,0,,5
112,84,Locally invasive GAS disease,Cellulitis,"ICD-10 L03.2, L03.10, L03.0, L03.10, L02.0-L02.9, L08.8",Not stated,skin infection diagnosis coded as cellulitis or skin abcess according to given ICD-10,,incidence,,84,Padraig,22-Jun-15,Skin infections o fth elimbs of Polynesian children,"Finger F, Rossaak M, Umstaetter R, Reulbach U, Pitto R",2004,"Finger et al., 2004",cross-sectional,New Zealand,Middlemore,tertiary care,1/01/2000,31/12/2000,1 year,inpatient admission,patient,91,clinincal records,1-14 years,,,No,Yes,No,Yes,Yes,,84,112,208,Ethnicity,European children incidence of cellulitis and skin abcess,,-9,50900,18,"per 100,000",35.4,-9,-9,35.4,TRUE,0,0,,0,"total GAS: 22.6% of cases cellultiis and skin abcess.
Cellulitis diagnosed in 45/91(49.5%)",5
113,85,Locally invasive GAS disease,Otitis media,no,Not stated,"All OM categorised as: (1) normal;
(2) otitis media with effusion (OME); (3) acute otitis media without perforation   OM/woP); (4) AOM with perforation  AOM/wip); (5) dry perforation; and (6) chronic suppurative otitis media (CSOM).",,prevalence,,85,Padraig,22-Jun-15,Otitis media in young Aboriginal children from remote communities in Northern and Central Australia,"Morris PS, Leach AJ, Silberberg P, Mellon G, Wilson C, Hamilton E, Beissbarth",2005,"Morris et al., 2005",cross-sectional,Australia,"NT, Central",community,May 2001,November 2001,approx. 7 months,"birth, immunisation registers",children,916,"questionnairre, exam, clinincla record review",6-30 months,,"self identify as aboriginal, aged between 6-30 months of age at first visit, resident of study community accoding to clinic staff",No,Yes,Yes,Yes,Yes,"good quality. Active finding of cases. High proportion of untested eligible kids, but efforts made to find and not likely to be differential?",85,113,209,Age,Aboriginal children aged 6-30 months remote communities NT and Central Australia ALL OM TYPES,709,-9,-9,647,%,91,88,94,94,TRUE,0,0,,0,95%CI adjusted for clustering effect of community,5
114,86,Locally invasive GAS disease,Otitis media,no,Not stated,Otoscopic abnormalities measured by otoscopy and tympanometry,,proportion,,86,Padraig,22-Jun-15,Prevalence of otitis media in Aboriginal school children on Groote Eylandt,"Latzel S, Hunter G",2002,"Latzel et al., 2002",cross-sectional,Australia,Groote Eylandt,school,May 2000,May 2000,2 days,school attendence,children,166,exam,0-15 years,,attendence at school on the days of visit and return of completed consent form,Yes,Unclear,No,Yes,Yes,"only school attendence, no attempts to locate absent. Low response and testing rate",86,114,210,Age,0-10 years age all Otoscopic abnormalities ears,218,-9,-9,148,%,68,-9,-9,68,TRUE,0,0,,0,sample size calculated by reviewer from data available,5
114,86,Locally invasive GAS disease,Otitis media,no,Not stated,Otoscopic abnormalities measured by otoscopy and tympanometry,,proportion,,86,Padraig,22-Jun-15,Prevalence of otitis media in Aboriginal school children on Groote Eylandt,"Latzel S, Hunter G",2002,"Latzel et al., 2002",cross-sectional,Australia,Groote Eylandt,school,May 2000,May 2000,2 days,school attendence,children,166,exam,0-15 years,,attendence at school on the days of visit and return of completed consent form,Yes,Unclear,No,Yes,Yes,"only school attendence, no attempts to locate absent. Low response and testing rate",86,114,211,Age,10.1-15 years age all Otoscopic abnormalities ears,114,-9,-9,48,%,42,-9,-9,42,TRUE,0,0,,0,sample size calculated by reviewer from available data,5
115,86,Locally invasive GAS disease,Otitis media,no,Not stated,"Otitis media with effusion, diagnosed by otoscopy and tympanometry",,proportion,,86,Padraig,22-Jun-15,Prevalence of otitis media in Aboriginal school children on Groote Eylandt,"Latzel S, Hunter G",2002,"Latzel et al., 2002",cross-sectional,Australia,Groote Eylandt,school,May 2000,May 2000,2 days,school attendence,children,166,exam,0-15 years,,attendence at school on the days of visit and return of completed consent form,Yes,Unclear,No,Yes,Yes,"only school attendence, no attempts to locate absent. Low response and testing rate",86,115,212,Age,10.1-15 years age all Otoscopic abnormalities ears,218,-9,-9,34,%,16,-9,-9,16,TRUE,0,0,,0,,5
115,86,Locally invasive GAS disease,Otitis media,no,Not stated,"Otitis media with effusion, diagnosed by otoscopy and tympanometry",,proportion,,86,Padraig,22-Jun-15,Prevalence of otitis media in Aboriginal school children on Groote Eylandt,"Latzel S, Hunter G",2002,"Latzel et al., 2002",cross-sectional,Australia,Groote Eylandt,school,May 2000,May 2000,2 days,school attendence,children,166,exam,0-15 years,,attendence at school on the days of visit and return of completed consent form,Yes,Unclear,No,Yes,Yes,"only school attendence, no attempts to locate absent. Low response and testing rate",86,115,213,Age,10.1-15 years Otitis Media with Effusion,114,-9,-9,3,%,3,-9,-9,3,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,214,Total,TOTAL AOM incidence children 0-5 years NZ,19146,-9,305075,5225,%,27.3,21.6,33.3,33.3,TRUE,0,0,,0,"described as ""percentage incidence of episodes"" ?",5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,215,Age,<1 years AOM percentage incidence children  NZ,3485,-9,-9,1740,%,49.9,39.8,60,60,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,217,Age,1 years old AOM percentage incidence children  NZ,4091,-9,-9,1377,%,33.7,25.8,41.4,41.4,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,218,Age,2 year old AOM percentage incidence children  NZ,3951,-9,-9,836,%,21.2,16,26.2,26.2,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,219,Age,3 year old AOM percentage incidence children  NZ,3733,-9,-9,688,%,18.4,13.7,23.1,23.1,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,220,Age,4 year old AOM percentage incidence children  NZ,3886,-9,-9,584,%,15,12.1,18,18,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,221,Sex,Female AOM percentage incidence children  NZ,9416,-9,148610,2496,%,26.5,21,31.9,31.9,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,222,Sex,Male AOM percentage incidence children  NZ,9730,-9,156465,2729,%,28,22.1,32.8,32.8,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,223,Ethnicity,MAORI  AOM percentage incidence children  NZ,6358,-9,86930,1721,%,27.1,20.7,33.4,33.4,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,224,Ethnicity,Pacific  AOM percentage incidence children  NZ,1485,-9,33735,317,%,21.3,12.9,29.8,29.8,TRUE,0,0,,0,,5
116,87,Locally invasive GAS disease,Otitis media,no,Not stated,"Acute OM: diagnosed according to 3 levels of supporting clinical evidence, including symptomatic fever, otalgia, bulging tympanic membranes, or otorrhoea And microbiological confirmation S.pneumoniae, H.influenza",,incidence,new AOM cases/total study cohort for the 1 year period,87,Padraig,23-Jun-15,The incidence of acute otitis media in New Zealand children under five years of age in the primary care setting,"Gribben B, Salkeld LJ, Hoare S, Jones HF",2012,"Gribben et al., 2012",prospective cohort,New Zealand,National,primary care,01/11/2008,31/10/2009,1 year,GP clinic,patient,19146,clinical records,0-5 years,,"under 5 years of age on 1/11/2008, continually enrolled in in a participating practice for the study period",No,Yes,Yes,Yes,Yes,high quality. 19/21 DHB represented,87,116,225,Ethnicity,OTHER  AOM percentage incidence children  NZ,11303,-9,184410,3187,%,28.2,21.1,35.3,35.3,TRUE,0,0,,0,,5
117,88,Post GAS infection reactions,Rheumatic Fever,na,Not stated,Not stated,,incidence rate,rate based on Estimated Resident popualtions for each year,88,Padraig,26-Jun-15,Queensland Health Notifiable Diseases Report 2002-2006,"Sweeney AL, Beard FH",2009,"Sweeney et al., 2009",prospective cohort,Australia,Queensland,notifications,2002,2006,,healthcare presentation,notifications,,notifications database,3-55 years,,,,,,,,GREY LITERATURE.  Government report,88,117,226,Total,ARF QUEENSLAND State health notifications average annual rate 2002-2006,-9,-9,19440970,,"per 100,000",1.06,-9,-9,1.06,TRUE,0,0,,0,,5
117,88,Post GAS infection reactions,Rheumatic Fever,na,Not stated,Not stated,,incidence rate,rate based on Estimated Resident popualtions for each year,88,Padraig,26-Jun-15,Queensland Health Notifiable Diseases Report 2002-2006,"Sweeney AL, Beard FH",2009,"Sweeney et al., 2009",prospective cohort,Australia,Queensland,notifications,2002,2006,,healthcare presentation,notifications,,notifications database,3-55 years,,,,,,,,GREY LITERATURE.  Government report,88,117,227,Region,ARF CENTRAL AREA health notifications average annual rate 2002-2006,-9,-9,7275052,3,"per 100,000",0.04,-9,-9,0.04,TRUE,0,0,,0,,5
117,88,Post GAS infection reactions,Rheumatic Fever,na,Not stated,Not stated,,incidence rate,rate based on Estimated Resident popualtions for each year,88,Padraig,26-Jun-15,Queensland Health Notifiable Diseases Report 2002-2006,"Sweeney AL, Beard FH",2009,"Sweeney et al., 2009",prospective cohort,Australia,Queensland,notifications,2002,2006,,healthcare presentation,notifications,,notifications database,3-55 years,,,,,,,,GREY LITERATURE.  Government report,88,117,228,Region,ARF NORTHERN AREA health notifications average annual rate 2002-2006,-9,-9,3094670,162,"per 100,000",5.17,-9,-9,5.17,TRUE,0,0,,0,northern region broken down further into districts,5
